Site,Control System,Unit,Application Type,Application Instance,Points
"01264 JAMAICA PLAIN,MA",Control System,CX-300 1: CVS 01264,Lighting Control,EMPLOYEE LTS,"ACTIVE SCHED, ALL LIGHTS ON, BYPASS ON, IN BYPASS, LIGHTS OUTPUT"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,Lighting Control,EMPLOYEE LTS,"ACTIVE SCHED, ALL LIGHTS ON, BYPASS ON, IN BYPASS, LIGHTS OUTPUT"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Lighting Control,EMPLOYEE LTS,"ACTIVE SCHED, ALL LIGHTS ON, BYPASS ON, IN BYPASS, LIGHTS OUTPUT"
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Lighting Control,EMPLOYEE LTS,"ACTIVE SCHED, ALL LIGHTS ON, BYPASS ON, IN BYPASS, LIGHTS OUTPUT"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Lighting Control,EMPLOYEE LTS,"ACTIVE SCHED, ALL LIGHTS ON, BYPASS ON, LIGHTS OUTPUT"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Lighting Control,EMPLOYEE LTS,"ACTIVE SCHED, ALL LIGHTS ON, BYPASS ON, LIGHTS OUTPUT"
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Lighting Control,EMPLOYEE LTS,"ACTIVE SCHED, ALL LIGHTS ON, BYPASS ON, IN BYPASS, LIGHTS OUTPUT"
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,HVAC Zones,EX24 SALES,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,Global Data,GLOBAL DATA,"ALL LIGHTS ON, CURTAILMENT OUT, HVAC EMER OV, HVAC PHASE LOSS, INDOOR HUM OUT, LIGHT LEVEL OUT, OAT OUT, OUTDOOR HUM OUT, REFR EMER OV, REFR PHASE LOSS, SPARE ANLG1 OUT, SPARE ANLG2 OUT, SPARE ANLG3 OUT, SPARE ANLG4 OUT, SPARE ANLG5 OUT, SPARE ANLG6 OUT, SPARE ANLG7 OUT, SPARE ANLG8 OUT, SPARE DIG1 OUT, SPARE DIG2 OUT, SPARE DIG3 OUT, SPARE DIG4 OUT, SPARE DIG5 OUT, SPARE DIG6 OUT, SPARE DIG7 OUT, SPARE DIG8 OUT, SUMMER WINTER"
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Global Data,GLOBAL DATA,"ALL LIGHTS IN, ALL LIGHTS ON, INDOOR HUM OUT, LIGHT LEVEL IN, LIGHT LEVEL OUT, OAT OUT, OUTDOOR HUM OUT, OUTDOOR TEMP"
"01261 WINTER PARK,FL",Control System,CX-300 1: CVS 01261,Global Data,GLOBAL DATA,"ALL LIGHTS IN, ALL LIGHTS ON, INDOOR HUM OUT, LIGHT LEVEL IN, LIGHT LEVEL OUT, OAT OUT, OUTDOOR HUM OUT, OUTDOOR TEMP"
"01491 CLINTON,MD",Control System,CX-300 1: CVS 01491,Global Data,GLOBAL DATA,"ALL LIGHTS IN, ALL LIGHTS ON, CURTAILMENT OUT, HVAC EMER OV, HVAC PHASE LOSS, INDOOR HUM OUT, LIGHT LEVEL IN, LIGHT LEVEL OUT, OAT OUT, OUTDOOR HUM OUT, OUTDOOR TEMP, REFR EMER OV, REFR PHASE LOSS, SPARE ANLG1 OUT, SPARE ANLG2 OUT, SPARE ANLG3 OUT, SPARE ANLG4 OUT, SPARE ANLG5 OUT, SPARE ANLG6 OUT, SPARE ANLG7 OUT, SPARE ANLG8 OUT, SPARE DIG1 OUT, SPARE DIG2 OUT, SPARE DIG3 OUT, SPARE DIG4 OUT, SPARE DIG5 OUT, SPARE DIG6 OUT, SPARE DIG7 OUT, SPARE DIG8 OUT, SUMMER WINTER"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,Global Data,GLOBAL DATA,"ALL LIGHTS IN, ALL LIGHTS ON, CURTAILMENT OUT, HVAC EMER OV, HVAC PHASE LOSS, INDOOR HUM OUT, LIGHT LEVEL IN, LIGHT LEVEL OUT, OAT OUT, OUTDOOR HUM OUT, OUTDOOR TEMP, REFR EMER OV, REFR PHASE LOSS, SPARE ANLG1 OUT, SPARE ANLG2 OUT, SPARE ANLG3 OUT, SPARE ANLG4 OUT, SPARE ANLG5 OUT, SPARE ANLG6 OUT, SPARE ANLG7 OUT, SPARE ANLG8 OUT, SPARE DIG1 OUT, SPARE DIG2 OUT, SPARE DIG3 OUT, SPARE DIG4 OUT, SPARE DIG5 OUT, SPARE DIG6 OUT, SPARE DIG7 OUT, SPARE DIG8 OUT, SUMMER WINTER"
"01743 SURPRISE,AZ",Control System,BX-300 1: CVS 01743,Global Data,GLOBAL DATA,"ALL LIGHTS ON, CURTAILMENT OUT, HVAC EMER OV, HVAC PHASE LOSS, INDOOR HUM OUT, LIGHT LEVEL OUT, OAT OUT, OUTDOOR HUM OUT, REFR EMER OV, REFR PHASE LOSS, SPARE ANLG1 OUT, SPARE ANLG2 OUT, SPARE ANLG3 OUT, SPARE ANLG4 OUT, SPARE ANLG5 OUT, SPARE ANLG6 OUT, SPARE ANLG7 OUT, SPARE ANLG8 OUT, SPARE DIG1 OUT, SPARE DIG2 OUT, SPARE DIG3 OUT, SPARE DIG4 OUT, SPARE DIG5 OUT, SPARE DIG6 OUT, SPARE DIG7 OUT, SPARE DIG8 OUT, SUMMER WINTER"
